country_code,country_name,weighted_exposure,total_employment_k,wb_country_code,wb_name,region,income_group,population_2024
PLW,Palau,0.2949,9.5,PLW,Palau,East Asia & Pacific,High income,17695.0
ARG,Argentina,0.2937,12165.0,ARG,Argentina,Latin America & Caribbean,Upper middle income,45696159.0
BGR,Bulgaria,0.2924,2909.6,BGR,Bulgaria,Europe & Central Asia,High income,6441421.0
WLF,Wallis and Futuna,0.2907,3.3,,,,,
MSR,Montserrat,0.2904,2.5,,,,,
COK,Cook Islands,0.29,8.4,,,,,
MUS,Mauritius,0.2894,546.6,MUS,Mauritius,Sub-Saharan Africa,Upper middle income,1245779.0
KOS,Kosovo,0.2879,423.8,XKX,Kosovo,Europe & Central Asia,Upper middle income,1594353.0
BRB,Barbados,0.2864,113.2,BRB,Barbados,Latin America & Caribbean,High income,282467.0
MKD,North Macedonia,0.2862,693.2,MKD,North Macedonia,Europe & Central Asia,Upper middle income,1824359.0
SRB,Serbia,0.2847,12183.7,SRB,Serbia,Europe & Central Asia,Upper middle income,6586476.0
BHS,Bahamas,0.2824,208.0,BHS,"Bahamas, The",Latin America & Caribbean,High income,401283.0
BLR,Belarus,0.2821,4796.7,BLR,Belarus,Europe & Central Asia,Upper middle income,9132629.0
URY,Uruguay,0.2807,1726.7,URY,Uruguay,Latin America & Caribbean,High income,3386588.0
ARE,United Arab Emirates,0.2806,7173.9,ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,10986400.0
MDV,Maldives,0.2797,189.2,MDV,Maldives,South Asia,Upper middle income,527799.0
CHL,Chile,0.2786,9093.2,CHL,Chile,Latin America & Caribbean,High income,19764771.0
BRA,Brazil,0.2783,101317.1,BRA,Brazil,Latin America & Caribbean,Upper middle income,211998573.0
CRI,Costa Rica,0.274,2186.5,CRI,Costa Rica,Latin America & Caribbean,High income,5129910.0
TKL,Tokelau,0.2727,0.4,,,,,
ROU,Romania,0.2717,7807.8,ROU,Romania,Europe & Central Asia,High income,19051804.0
SUR,Suriname,0.2703,185.4,SUR,Suriname,Latin America & Caribbean,Upper middle income,634431.0
MHL,Marshall Islands,0.2682,12.4,MHL,Marshall Islands,East Asia & Pacific,Upper middle income,37548.0
JAM,Jamaica,0.2662,1124.3,JAM,Jamaica,Latin America & Caribbean,Upper middle income,2839175.0
TUR,Türkiye,0.2652,32620.3,TUR,Türkiye,Europe & Central Asia,Upper middle income,85518661.0
CUB,Cuba,0.2645,4585.2,CUB,Cuba,Latin America & Caribbean,Upper middle income,10979783.0
DOM,Dominican Republic,0.264,5098.3,DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,11427557.0
LBN,Lebanon,0.2639,1513.6,LBN,Lebanon,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5805962.0
